Name;Age;Points;Date;Rank;Birth_date;Turned_Pro;Weight;Height;Nationality;Birth_Country;Birth_City;Backhand;Strong_Hand
Diego Schwartzman;29;2245;2022-08-08;15;1992-08-16;2010;64;170;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Marin Cilic;33;2085;2022-08-08;16;1988-09-28;2005;89;198;Croatie;Bosnia-Herzegovina;Medjugorje;Two_Handed;Right_Handed
Reilly Opelka;24;2010;2022-08-08;17;1997-08-28;2015;102;211;Etats-Unis;MI;St. Joseph;Two_Handed;Right_Handed
Roberto Bautista Agut;34;1850;2022-08-08;18;1988-04-14;2005;75;183;Espagne;Spain;Castellon de la Plana;Two_Handed;Right_Handed
Grigor Dimitrov;31;1775;2022-08-08;19;1991-05-16;2008;81;191;Bulgarie;Bulgaria;Haskovo;One_Handed;Right_Handed
Gael Monfils;35;1615;2022-08-08;20;1986-09-01;2004;85;193;France;France;Paris;Two_Handed;Right_Handed
Alex de Minaur;23;1585;2022-08-08;21;1999-02-17;2015;69;183;Australie;Australia;Sydney;Two_Handed;Right_Handed
Denis Shapovalov;23;1560;2022-08-08;22;1999-04-15;2017;75;185;Canada;Israel;Tel Aviv;One_Handed;Left_Handed
Pablo Carreno Busta;31;1555;2022-08-08;23;1991-07-12;2009;78;188;Espagne;Spain;Gijon;Two_Handed;Right_Handed
Frances Tiafoe;24;1506;2022-08-08;24;1998-01-20;2015;86;188;Etats-Unis;MD;Hyattsville;Two_Handed;Right_Handed
Botic van de Zandschulp;26;1462;2022-08-08;25;1995-10-04;2016;85;191;Pays-Bas;Netherlands;Wageningen;Two_Handed;Right_Handed
Holger Rune;19;1425;2022-08-08;26;2003-04-29;2020;77;188;Danemark;Denmark;Gentofte;Two_Handed;Right_Handed
Francisco Cerundolo;23;1401;2022-08-08;27;1998-08-13;2018;80;185;Argentine;Argentina;Buenos Aires;Two_Handed;Right_Handed
Karen Khachanov;26;1395;2022-08-08;28;1996-05-21;2013;87;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Nikoloz Basilashvili;30;1380;2022-08-08;29;1992-02-23;2008;79;185;Georgie;Georgia;Tbilisi;Two_Handed;Right_Handed
Lorenzo Musetti;20;1297;2022-08-08;30;2002-03-03;2019;78;185;Italie;Italy;Carrara;One_Handed;Right_Handed
Daniil Medvedev;26;7625;2022-08-01;1;1996-02-11;2014;83;198;Russie;Russia;Moscow;Two_Handed;Right_Handed
Alexander Zverev;25;6850;2022-08-01;2;1997-04-20;2013;90;198;Allemagne;Germany;Hamburg;Two_Handed;Right_Handed
Rafael Nadal;36;6165;2022-08-01;3;1986-06-03;2001;85;185;Espagne;Mallorca;Manacor;Two_Handed;Left_Handed
Carlos Alcaraz;19;5035;2022-08-01;4;2003-05-05;2018;74;183;Espagne;Murcia;El Palmar;Two_Handed;Right_Handed
Stefanos Tsitsipas;23;5000;2022-08-01;5;1998-08-12;2016;90;193;Grece;Greece;Athens;One_Handed;Right_Handed
Novak Djokovic;35;4770;2022-08-01;6;1987-05-22;2003;77;188;Serbie;Serbia;Belgrade;Two_Handed;Right_Handed
Casper Ruud;23;4685;2022-08-01;7;1998-12-22;2015;77;183;Norvege;Norway;Oslo;Two_Handed;Right_Handed
Andrey Rublev;24;3575;2022-08-01;8;1997-10-20;2014;75;188;Russie;Russia;Moscow;Two_Handed;Right_Handed
